,Model,Scenario,Region,Variable,Unit,year,gwl
0,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1971,0.2768
1,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1972,0.2936
2,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1973,0.3104
3,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1974,0.3272
4,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1975,0.344
5,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1976,0.3607999
6,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1977,0.3775999
7,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1978,0.3943999
8,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1979,0.4111999
9,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1980,0.4279999
10,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1981,0.4447999
11,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1982,0.4615999
12,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1983,0.4783998
13,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1984,0.4951998
14,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1985,0.5119998
15,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1986,0.5287998
16,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1987,0.5455998
17,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1988,0.5623998
18,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1989,0.5791998
19,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1990,0.5959998
20,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1991,0.6127998
21,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1992,0.6295998
22,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1993,0.6463997
23,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1994,0.6631997
24,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1995,0.6799997
25,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1996,0.6967997
26,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1997,0.7135997
27,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1998,0.7303997
28,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,1999,0.7471997
29,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2000,0.7639996
30,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2001,0.7807996
31,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2002,0.7975996
32,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2003,0.8143996
33,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2004,0.8311996
34,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2005,0.8479996
35,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2006,0.8647996
36,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2007,0.8815995
37,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2008,0.8983995
38,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2009,0.9151995
39,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2010,0.9319995
40,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2011,0.9487995
41,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2012,0.9655995
42,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2013,0.9823995
43,IMAGE 3.4,SSP2,World,Temperature Change,Degrees Celcius,2014,0.9991995
