BaseTemp,MaskThreshold,SSP,Year,Region,ExposedPopulation,weighted_cdd,warming_level,RegionalPop
cdd_18p3,mask_50,pop_SSP1,2040,1,39505796.0,258.5084890239383,1.693643,41337404.0
cdd_18p3,mask_50,pop_SSP1,2040,2,365603330.0,957.8989449107795,1.693643,367037060.0
cdd_18p3,mask_50,pop_SSP1,2040,3,120391140.0,1184.4434187899565,1.693643,138872290.0
cdd_18p3,mask_50,pop_SSP1,2040,4,104956100.0,1626.8990495108237,1.693643,105208740.0
cdd_18p3,mask_50,pop_SSP1,2040,5,223861490.0,2178.4212278219284,1.693643,224225860.0
cdd_18p3,mask_50,pop_SSP1,2040,6,192231710.0,1253.815518879835,1.693643,242465470.0
cdd_18p3,mask_50,pop_SSP1,2040,7,258728100.0,1554.501774964426,1.693643,258731170.0
cdd_18p3,mask_50,pop_SSP1,2040,8,848873860.0,3115.601751674499,1.693643,848988800.0
cdd_18p3,mask_50,pop_SSP1,2040,9,484018270.0,1819.8296328263855,1.693643,504946800.0
cdd_18p3,mask_50,pop_SSP1,2040,10,67584720.0,893.3615103286159,1.693643,67584720.0
cdd_18p3,mask_50,pop_SSP1,2040,11,383349250.0,266.4350663007431,1.693643,431206400.0
cdd_18p3,mask_50,pop_SSP1,2040,12,111304960.0,344.40814465726305,1.693643,111707960.0
cdd_18p3,mask_50,pop_SSP1,2040,13,94727340.0,672.5166128505679,1.693643,94843990.0
cdd_18p3,mask_50,pop_SSP1,2040,14,48400084.0,398.06262966639946,1.693643,48440990.0
cdd_18p3,mask_50,pop_SSP1,2040,15,90948216.0,957.1684979199122,1.693643,92945240.0
cdd_18p3,mask_50,pop_SSP1,2040,16,154154670.0,374.0730658076767,1.693643,156855440.0
cdd_18p3,mask_50,pop_SSP1,2040,17,341798820.0,1874.2017360440839,1.693643,342136600.0
cdd_18p3,mask_50,pop_SSP1,2040,18,1559885400.0,2903.4402725320842,1.693643,1563959600.0
cdd_18p3,mask_50,pop_SSP1,2040,19,76079064.0,630.0734978589335,1.693643,76428100.0
cdd_18p3,mask_50,pop_SSP1,2040,20,1399632100.0,1135.4159263454742,1.693643,1414905100.0
cdd_18p3,mask_50,pop_SSP1,2040,21,443253820.0,2859.783027594782,1.693643,445849020.0
cdd_18p3,mask_50,pop_SSP1,2040,22,311212100.0,2578.974224402152,1.693643,312030500.0
cdd_18p3,mask_50,pop_SSP1,2040,23,113280030.0,791.6325455884988,1.693643,113431120.0
cdd_18p3,mask_50,pop_SSP1,2040,24,37170504.0,607.405220126244,1.693643,38909136.0
cdd_18p3,mask_50,pop_SSP1,2040,25,598365800.0,2450.084124758127,1.693643,606828100.0
cdd_18p3,mask_50,pop_SSP1,2040,26,279975040.0,1792.0081708577093,1.693643,281171600.0
cdd_18p3,mask_50,pop_SSP1,2050,1,41768350.0,294.0706002225668,1.980731,42730160.0
cdd_18p3,mask_50,pop_SSP1,2050,2,377716830.0,1014.9657130673824,1.980731,379067230.0
cdd_18p3,mask_50,pop_SSP1,2050,3,123911176.0,1248.4501021820015,1.980731,141275540.0
cdd_18p3,mask_50,pop_SSP1,2050,4,106474130.0,1696.747089556009,1.980731,106730440.0
cdd_18p3,mask_50,pop_SSP1,2050,5,221647170.0,2274.210675901001,1.980731,222007940.0
cdd_18p3,mask_50,pop_SSP1,2050,6,196035740.0,1313.7249264007335,1.980731,245458220.0
cdd_18p3,mask_50,pop_SSP1,2050,7,276051260.0,1625.1888030700961,1.980731,276054530.0
cdd_18p3,mask_50,pop_SSP1,2050,8,981647940.0,3212.206709713402,1.980731,981780860.0
cdd_18p3,mask_50,pop_SSP1,2050,9,546067300.0,1911.7740862230821,1.980731,567637300.0
cdd_18p3,mask_50,pop_SSP1,2050,10,69499650.0,968.1850550165505,1.980731,69499650.0
cdd_18p3,mask_50,pop_SSP1,2050,11,399087740.0,294.44184146446906,1.980731,436203360.0
cdd_18p3,mask_50,pop_SSP1,2050,12,106735510.0,383.2403942313741,1.980731,107122160.0
cdd_18p3,mask_50,pop_SSP1,2050,13,96877710.0,722.2950232772545,1.980731,96936720.0
cdd_18p3,mask_50,pop_SSP1,2050,14,46647932.0,438.62276189122326,1.980731,46647932.0
cdd_18p3,mask_50,pop_SSP1,2050,15,96415290.0,1015.8433686317347,1.980731,98202280.0
cdd_18p3,mask_50,pop_SSP1,2050,16,152977820.0,410.3835771802766,1.980731,155298020.0
cdd_18p3,mask_50,pop_SSP1,2050,17,365334800.0,1958.0241494338027,1.980731,365695940.0
cdd_18p3,mask_50,pop_SSP1,2050,18,1569357300.0,2997.2143530159615,1.980731,1573453300.0
cdd_18p3,mask_50,pop_SSP1,2050,19,73179530.0,672.8893109590899,1.980731,73376910.0
cdd_18p3,mask_50,pop_SSP1,2050,20,1338590800.0,1194.505859019213,1.980731,1352791300.0
cdd_18p3,mask_50,pop_SSP1,2050,21,447674000.0,2944.1197784442193,1.980731,450295300.0
cdd_18p3,mask_50,pop_SSP1,2050,22,313463700.0,2647.7173224240255,1.980731,314288030.0
cdd_18p3,mask_50,pop_SSP1,2050,23,107301490.0,833.1384801913014,1.980731,107435820.0
cdd_18p3,mask_50,pop_SSP1,2050,24,39754290.0,644.015990017217,1.980731,40958290.0
cdd_18p3,mask_50,pop_SSP1,2050,25,641313300.0,2539.2692083088828,1.980731,647567100.0
cdd_18p3,mask_50,pop_SSP1,2050,26,320812580.0,1889.0072414624417,1.980731,322151000.0
cdd_18p3,mask_50,pop_SSP1,2060,1,43199028.0,333.9878198000651,2.268381,43724424.0
cdd_18p3,mask_50,pop_SSP1,2060,2,385549980.0,1077.1593569986053,2.268381,386854980.0
cdd_18p3,mask_50,pop_SSP1,2060,3,123270104.0,1328.0411095718453,2.268381,140542530.0
cdd_18p3,mask_50,pop_SSP1,2060,4,105341540.0,1775.7369003227757,2.268381,105595120.0
cdd_18p3,mask_50,pop_SSP1,2060,5,214815650.0,2380.032317479414,2.268381,215165280.0
cdd_18p3,mask_50,pop_SSP1,2060,6,197511090.0,1378.4262457425746,2.268381,243065360.0
cdd_18p3,mask_50,pop_SSP1,2060,7,285473000.0,1705.4708425358392,2.268381,285476380.0
cdd_18p3,mask_50,pop_SSP1,2060,8,1090648600.0,3323.291846967526,2.268381,1090710100.0
cdd_18p3,mask_50,pop_SSP1,2060,9,595846700.0,2013.876947277,2.268381,614193150.0
cdd_18p3,mask_50,pop_SSP1,2060,10,69521660.0,1044.6144870661842,2.268381,69521660.0
cdd_18p3,mask_50,pop_SSP1,2060,11,402970080.0,324.5679599387131,2.268381,437019330.0
cdd_18p3,mask_50,pop_SSP1,2060,12,102306910.0,428.9034780186867,2.268381,102368690.0
cdd_18p3,mask_50,pop_SSP1,2060,13,96691990.0,782.436191875285,2.268381,96692240.0
cdd_18p3,mask_50,pop_SSP1,2060,14,44486428.0,490.9258342128305,2.268381,44486428.0
cdd_18p3,mask_50,pop_SSP1,2060,15,98563610.0,1082.4065069003693,2.268381,100182490.0
cdd_18p3,mask_50,pop_SSP1,2060,16,150852540.0,455.4041536217947,2.268381,152653250.0
cdd_18p3,mask_50,pop_SSP1,2060,17,378872700.0,2050.3815068486892,2.268381,379247300.0
cdd_18p3,mask_50,pop_SSP1,2060,18,1541960200.0,3109.4077451698704,2.268381,1545084400.0
cdd_18p3,mask_50,pop_SSP1,2060,19,68524136.0,719.6198582086049,2.268381,68708940.0
cdd_18p3,mask_50,pop_SSP1,2060,20,1245579000.0,1259.423816783191,2.268381,1258049700.0
cdd_18p3,mask_50,pop_SSP1,2060,21,441429700.0,3036.95719253654,2.268381,444014660.0
cdd_18p3,mask_50,pop_SSP1,2060,22,308284100.0,2723.793872489056,2.268381,309094800.0
cdd_18p3,mask_50,pop_SSP1,2060,23,101667576.0,879.9808048769817,2.268381,101781510.0
cdd_18p3,mask_50,pop_SSP1,2060,24,41507850.0,688.0781207425299,2.268381,42555550.0
cdd_18p3,mask_50,pop_SSP1,2060,25,665824960.0,2642.528316032549,2.268381,671092740.0
cdd_18p3,mask_50,pop_SSP1,2060,26,352851970.0,1994.7927379729335,2.268381,354106900.0
cdd_18p3,mask_50,pop_SSP1,2070,1,43932188.0,374.18796534469556,2.554702,44364012.0
cdd_18p3,mask_50,pop_SSP1,2070,2,390864320.0,1138.9718140219704,2.554702,392172800.0
cdd_18p3,mask_50,pop_SSP1,2070,3,131461400.0,1408.7913568607732,2.554702,137426370.0
cdd_18p3,mask_50,pop_SSP1,2070,4,102305450.0,1854.3463409923904,2.554702,102546620.0
cdd_18p3,mask_50,pop_SSP1,2070,5,204026980.0,2485.5444580761327,2.554702,204359040.0
cdd_18p3,mask_50,pop_SSP1,2070,6,194134980.0,1443.6142195476723,2.554702,236221260.0
cdd_18p3,mask_50,pop_SSP1,2070,7,287184900.0,1785.6492265353963,2.554702,287188320.0
cdd_18p3,mask_50,pop_SSP1,2070,8,1171648000.0,3434.0280262514666,2.554702,1171714300.0
cdd_18p3,mask_50,pop_SSP1,2070,9,626907650.0,2115.11483814041,2.554702,642925440.0
